CO2_loading,MEA_mol,Temp,log_x_H2O,log_x_CO2,log_x_MEA,log_x_OH-,log_x_HCO3-,log_x_CO32-,log_x_MEACOO-,log_x_H3O+,log_x_MEAH+,x_H2O,x_CO2,x_MEA,x_OH-,x_HCO3-,x_CO32-,x_MEACOO-,x_H3O+,x_MEAH+,gamma_H2O,gamma_CO2,gamma_MEA,gamma_OH-,gamma_HCO3-,gamma_CO32-,gamma_MEACOO-,gamma_H3O+,gamma_MEAH+,G_ex,Henry_mix_CO2,fugacity_pure_solvent_H2O,fugacity_pure_solvent_MEA,log_gamma_mix_CO2,liq_enthalpy
0.001,0.027263158,314.2026316,-0.03099443,-22.73171611,-3.731560883,-5.727729822,-14.51184114,-15.58907904,-10.53476364,-25.30240191,-5.71933564,0.969480973,1.34E-10,0.023955415,0.003254457,4.98E-07,1.70E-07,2.66E-05,1.03E-11,0.003281891,-0.002888763,0.305527392,-0.927143217,0.381067115,-0.669595821,-1.371112824,-0.625923582,-0.457988579,0.14173467,-0.08820321,713.7537725,0.078025887,0.001956122,0.226031597,-284266.8712
0.001,0.027263158,318.4131579,-0.031090276,-22.40075851,-3.735443776,-5.699589526,-14.4234426,-15.65852434,-10.53607038,-25.05149886,-5.691430709,0.969388057,1.87E-10,0.023862579,0.003347339,5.44E-07,1.58E-07,2.66E-05,1.32E-11,0.003374761,-0.002945238,0.298202336,-0.875539136,0.374524266,-0.660154341,-1.398026511,-0.632041303,-0.463818205,0.151264882,-0.087570354,785.2079753,0.097128499,0.002674885,0.232067828,-283937.7115
0.001,0.027263158,322.6236842,-0.031178182,-22.07232874,-3.739017305,-5.674463264,-14.33543192,-15.73046327,-10.53754633,-24.80864548,-5.666509289,0.969302846,2.59E-10,0.023777458,0.003432511,5.95E-07,1.47E-07,2.65E-05,1.68E-11,0.003459922,-0.002998557,0.290354709,-0.826182265,0.368029914,-0.652352305,-1.424051099,-0.637961759,-0.469472417,0.160740083,-0.086865137,862.7208357,0.120113163,0.003619469,0.237528706,-283607.7478
0.001,0.027263158,326.8342105,-0.031258087,-21.74636092,-3.742275725,-5.652163112,-14.24801248,-15.80468112,-10.53920205,-24.5734793,-5.644386878,0.969225397,3.59E-10,0.023700107,0.003509916,6.49E-07,1.37E-07,2.65E-05,2.13E-11,0.003537317,-0.003048295,0.281962836,-0.778984782,0.361513512,-0.64594709,-1.449346736,-0.643695916,-0.474962131,0.170159088,-0.086088607,946.7238268,0.147600577,0.004848631,0.242441175,-283276.8769
0.001,0.027263158,331.0447368,-0.031329985,-21.4227965,-3.745215679,-5.632518145,-14.16133794,-15.88098611,-10.54104822,-24.34566125,-5.624895434,0.969155714,4.97E-10,0.023630532,0.00357955,7.08E-07,1.27E-07,2.64E-05,2.67E-11,0.00360694,-0.003094085,0.273008926,-0.733863105,0.354918914,-0.640746444,-1.474049395,-0.649254036,-0.480297407,0.179521335,-0.085242487,1037.667518,0.180281133,0.006433112,0.246827671,-282944.999
0.001,0.027263158,335.2552632,-0.031393915,-21.1015836,-3.747836009,-5.615372593,-14.07552402,-15.9592066,-10.5430957,-24.1248737,-5.607881632,0.969093757,6.85E-10,0.023568693,0.003641453,7.71E-07,1.17E-07,2.64E-05,3.33E-11,0.003668833,-0.003135619,0.263478861,-0.690737545,0.348202238,-0.636596807,-1.498274378,-0.654645705,-0.485487495,0.188826762,-0.084329058,1136.022865,0.218918576,0.008457324,0.250707202,-282612.0174
0.001,0.027263158,339.4657895,-0.03144996,-20.78267639,-3.750137569,-5.600584253,-13.9906575,-16.03918883,-10.54535568,-23.91081865,-5.593205343,0.969039446,9.42E-10,0.023514511,0.003695704,8.39E-07,1.08E-07,2.63E-05,4.13E-11,0.003723075,-0.003172639,0.253361912,-0.64953201,0.341330064,-0.633374543,-1.52211921,-0.659879861,-0.490540876,0.198075701,-0.08335106,1242.28263,0.264353381,0.011021163,0.254096138,-282277.8375
0.001,0.027263158,343.6763158,-0.031498236,-20.46603462,-3.752123037,-5.588023093,-13.906803,-16.12079507,-10.54783974,-23.70321623,-5.580738301,0.968992666,1.29E-09,0.02346787,0.003742419,9.13E-07,9.97E-08,2.63E-05,5.08E-11,0.003769781,-0.003204942,0.242650436,-0.610173729,0.334277919,-0.630979306,-1.545666,-0.664964819,-0.495465305,0.207268814,-0.082311592,1356.962944,0.317505805,0.014241899,0.257008816,-281942.3667
0.001,0.027263158,347.8868421,-0.031538893,-20.15162311,-3.75379673,-5.577570033,-13.82400824,-16.20390211,-10.55056008,-23.50180327,-5.570362937,0.96895327,1.77E-09,0.023428625,0.003781744,9.92E-07,9.18E-08,2.62E-05,6.21E-11,0.003809098,-0.003232373,0.231339558,-0.572593016,0.327028984,-0.629328996,-1.568983418,-0.669908298,-0.500267852,0.216407027,-0.081214035,1480.605012,0.379378563,0.018256149,0.259457987,-281605.5141
0.001,0.027263158,352.0973684,-0.03157211,-19.83941147,-3.755164425,-5.569115868,-13.74230808,-16.28840004,-10.55352958,-23.30633209,-5.561971337,0.968921085,2.42E-09,0.023396603,0.003813851,1.08E-06,8.43E-08,2.61E-05,7.55E-11,0.003841197,-0.003254821,0.219426871,-0.536723059,0.319572997,-0.628355896,-1.592128336,-0.674717444,-0.504954934,0.225491497,-0.080061976,1613.776979,0.451059092,0.023221911,0.261455166,-281267.1897
