,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,H_ads [kJ/mol]
2718,4163.75,0.831679,12.32288,15.29968,0.417823,2928.75,-2407.34033203125
2719,215.191,0.170286,3.45969,4.24253,2.06132,7.86393,-3167.7509765625
2720,294.169,0.177339,3.30687,5.33074,1.53929,34.1824,-3321.148681640625
2721,4001.82,0.794033,8.84689,12.50584,0.551202,2033.08,-2572.0185546875
2722,2126.22,0.63338,9.15583,10.33095,0.818193,343.999,-2823.979248046875
2723,2638.8,0.697152,5.45463,6.27391,0.840598,351.92,-3201.702880859375
2724,1740.31,0.540132,6.64288,7.12869,0.909818,245.42,-3245.262451171875
2725,2719.91,0.679708,6.87171,9.06463,0.790234,517.675,-2952.4482421875
2726,3983.43,0.843883,12.97504,18.00351,0.403324,5754.41,-2328.83740234375
2727,3314.96,0.790549,7.88965,15.3744,0.642814,4777.69,-2815.26953125
2728,886.611,0.380638,4.19865,5.27667,1.22502,69.2316,-3488.224853515625
2729,1765.92,0.583453,7.18767,7.68363,0.893421,181.558,-3684.74365234375
2730,2198.98,0.646928,9.52045,10.40131,0.784753,362.492,-2932.439453125
2731,5592.85,0.889473,14.65583,18.94181,0.277407,3727.37,-2202.916015625
2732,1103.11,0.546886,5.02286,5.83805,1.21875,60.9032,-3758.036865234375
2733,3908.64,0.834232,9.34014,16.25697,0.53458,5546.34,-2669.73388671875
2734,3515.57,0.787302,9.79503,11.42392,0.568427,1450.49,-2924.08251953125
2735,414.254,0.223165,4.38401,5.97875,1.49194,64.3417,-3155.394775390625
2736,3055.04,0.862896,27.54555,27.96058,0.346112,4439.62,-1838.1734619140625
2737,1558.46,0.561738,5.50393,7.6754,1.16376,693.024,-3298.79296875
2738,2556.19,0.770932,13.01696,13.45128,0.623562,742.883,-3031.6650390625
2739,4713.21,0.797852,10.61739,13.01391,0.422209,2133.89,-2501.321044921875
2740,721.536,0.464021,3.73928,6.08702,1.73479,83.1025,-3315.56787109375
2741,2841.31,0.712582,9.47724,10.30799,0.682216,947.894,-3039.025390625
2742,913.456,0.417914,5.12312,5.54279,1.57133,164.087,-3216.576171875
2743,1679.85,0.544469,6.04448,7.84799,0.991465,654.423,-3336.457275390625
2744,722.253,0.357003,4.51537,5.05154,1.3301,54.4848,-3382.69970703125
2745,2381.95,0.596016,4.95282,5.96644,0.898419,175.243,-3190.868896484375
2746,4514.74,0.834602,11.87139,14.00592,0.444168,3650.6,-2582.220458984375
2747,2781.27,0.783623,7.45996,16.33408,0.739,4740.21,-2645.302490234375
2748,3908.59,0.790795,11.84843,15.62063,0.443239,2697.14,-2340.16845703125
2749,3389.91,0.699048,6.94794,7.44963,0.661915,703.086,-3097.4677734375
2750,624.247,0.296391,4.22858,5.80304,1.29481,73.1121,-3614.903076171875
2751,1061.1,0.390413,7.13979,7.72339,1.09926,115.399,-3019.892578125
2752,125.163,0.101412,3.92507,4.03295,1.92044,2.7782,-3496.492919921875
2753,1242.22,0.380288,6.2318,6.49091,1.01196,198.144,-3180.522705078125
2754,819.082,0.3016,4.95898,5.42017,1.08986,31.941,-3731.906494140625
2755,479.218,0.304566,4.50042,5.16279,1.74986,28.2033,-3404.41748046875
2756,965.9,0.312302,3.76385,5.67074,1.08909,113.919,-3392.712646484375
2757,252.271,0.132857,4.65875,5.41967,1.72364,81.1591,-2956.7197265625
2758,610.102,0.455579,3.4084,6.97562,1.41543,102.61,-3069.62890625
2759,4050.69,0.783521,8.56399,14.49,0.50624,2990.33,-2500.43408203125
