,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,CO2 Uptake [g/g]
4631,2745.77,0.609546,4.92001,6.9273,0.848748,350.661,486.24493408203125
4632,635.617,0.308234,4.74553,5.53588,1.49112,79.902,105.24354553222656
4633,3905.45,0.715165,11.98843,14.04724,0.468867,1538.28,994.0316772460938
4634,1133.49,0.453221,6.84319,7.14201,1.17211,146.614,282.8271179199219
4635,676.585,0.241966,4.72033,6.61567,1.26179,169.709,119.35938262939453
4636,1978.04,0.662146,18.55024,18.65516,0.621514,854.357,702.21728515625
4637,2877.92,0.698199,5.05567,8.4631,0.771851,525.081,613.0948486328125
4638,2056.11,0.618359,4.60013,5.6232,0.963638,188.126,444.2362060546875
4639,5484.17,0.832588,10.76509,12.6769,0.367751,3337.05,1476.959716796875
4640,1275.47,0.511865,7.3852,9.29032,1.14111,414.774,305.9830017089844
4641,2019.11,0.464491,6.81126,7.65753,0.794236,369.662,373.7264099121094
4642,1219.3,0.622008,10.08887,10.76028,1.2749,328.899,365.1847229003906
4643,2828.95,0.682553,12.49812,13.10066,0.572879,790.475,839.0010375976562
4644,981.881,0.37535,5.108,7.75003,1.26996,436.724,190.8810577392578
4645,1162.8,0.42745,3.8579,5.05346,1.02508,47.243,222.3994140625
4646,2649.0,0.634154,5.40955,7.35424,0.791495,833.019,570.19873046875
4647,3982.99,0.817173,9.78357,13.34,0.483307,2060.24,1168.279296875
4648,3722.05,0.82179,8.71248,16.28233,0.562935,5377.98,1049.6143798828125
4649,1537.35,0.646066,6.26978,7.74203,1.03888,142.89,430.3117370605469
4650,751.52,0.350028,3.39914,4.87042,1.11582,12.1623,197.25753784179688
4651,1772.95,0.577276,5.81209,7.9142,1.03556,744.581,388.3906555175781
4652,647.006,0.346838,7.43966,7.61889,1.69861,96.0534,134.96453857421875
4653,4127.52,0.842102,14.04033,16.54787,0.396594,2970.91,1396.95849609375
4654,2704.71,0.662984,5.88223,7.86765,0.828148,288.525,538.9838256835938
4655,2145.05,0.681947,7.22694,7.90227,0.828091,273.62,608.299072265625
4656,1855.76,0.590665,4.42103,5.09393,0.986135,80.4091,440.2677307128906
4657,601.936,0.304332,3.35184,4.95046,1.35035,61.0847,131.8358154296875
