k,stage,i,step,flag,x,minimum_selling_price,CO2_emission,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0,line_search,12,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293,75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,12,1,success,"[ 75.       71.52775 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5582728968112346,-0.005274356045337833,75.0,71.52775,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,12,2,success,"[ 75.      68.0555 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5571744055851159,-0.004856242648568817,75.0,68.0555,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,12,3,success,"[ 75.       64.58325 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5555116829402068,-0.003971475343491671,75.0,64.58324999999999,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,12,4,success,"[ 75.     61.111 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5532679378847197,-0.002568244340686165,75.0,61.111,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,13,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293,75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,13,1,success,"[ 75.       72.91675 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5587175380767975,-0.005438717378518403,75.0,72.91675000000001,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,13,2,success,"[ 75.      70.8335 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5580429529908664,-0.005196215957523975,75.0,70.8335,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,13,3,success,"[ 75.       68.75025 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5573997287487642,-0.004939226954718133,75.0,68.75025,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,13,4,success,"[ 75.     66.667 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5567392815881244,-0.004675351754970212,75.0,66.667,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,14,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293,75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,14,1,success,"[ 75.      74.3055 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5591686887638015,-0.005591383676971546,75.0,74.3055,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,14,2,success,"[ 75.     73.611 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5589373187736711,-0.0055207449398515735,75.0,73.61099999999999,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,14,3,success,"[ 75.      72.9165 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5587187317575646,-0.005438644375973648,75.0,72.9165,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
