Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220,CO2_emission
75,75,210,211.66675,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.000858202
75,75,210,213.3335,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.00404853
75,75,210,215.00025,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.008112676
75,75,210,216.667,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.013244573
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,213.0555,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.003217031
75,75,210,216.111,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.011825647
75,75,210,219.1665,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.021403334
75,75,210,222.222,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.03135642
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,214.4445,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.006764522
75,75,210,218.889,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.02054253
75,75,210,223.3335,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.035091965
75,75,210,227.778,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.049961196
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,215.83325,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.01083609
75,75,210,221.6665,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.029413815
75,75,210,227.49975,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.049350143
75,75,210,233.333,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.055232372
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,217.22225,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.015001379
75,75,210,224.4445,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.038610583
75,75,210,231.66675,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.064041633
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,218.611,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.01920458
75,75,210,227.222,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.048117036
75,75,210,235.833,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.062673447
75,75,210,244.444,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.091831518
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,220,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.024145146
75,75,210,230,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.058144356
75,75,210,240,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.076457928
75,75,210,250,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.112046524
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,4.5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005666084
75,75,210,210,4,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005673095
75,75,210,210,3.5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005702328
75,75,210,210,3,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005816402
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,4.6945,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005664032
75,75,210,210,4.389,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005664939
75,75,210,210,4.0835,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005669512
75,75,210,210,3.778,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005680327
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,4.889,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005662865
75,75,210,210,4.778,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005663935
75,75,210,210,4.667,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005664339
75,75,210,210,4.556,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005664401
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5.08325,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005661906
